organization_name,mobility_service,agency_id,network_id,route_id,category
A-Paratransit,nan,nan,nan,nan,primary
ACE Parking,nan,nan,nan,nan,primary
Active Network,nan,nan,nan,nan,primary
AEP Ticketing,nan,nan,nan,nan,primary
Alameda Loop Shuttle,nan,nan,nan,nan,primary
All Yellow Taxi,nan,nan,nan,nan,primary
Alpine County Local Transportation Commission,nan,nan,nan,nan,primary
Amador County,nan,nan,nan,nan,primary
Amador County Transportation Commission,nan,nan,nan,nan,primary
Ambiance Inc.,nan,nan,nan,nan,primary
"American Logistics Company, LLC",nan,nan,nan,nan,primary
AmericanEagle,nan,nan,nan,nan,primary
Ampla Health,nan,nan,nan,nan,primary
Apple,nan,nan,nan,nan,primary
Area 1 Agency on Aging,nan,nan,nan,nan,primary
ARINC,nan,nan,nan,nan,primary
Association of Monterey Bay Area Governments,nan,nan,nan,nan,primary
Avail Technologies Inc.,nan,nan,nan,nan,primary
Bakersfield Airport Valet Express,nan,nan,nan,nan,primary
Bell Cab Inc.,nan,nan,nan,nan,primary
Beverly Hills Cab,nan,nan,nan,nan,primary
Binary System,nan,nan,nan,nan,primary
Bishop Paiute Tribe,nan,nan,nan,nan,primary
Bishop Peak Technologies,nan,nan,nan,nan,primary
Black Tie Transportation Inc.,nan,nan,nan,nan,primary
BlinkTag,nan,nan,nan,nan,primary
Bombardier,nan,nan,nan,nan,primary
Brookfield Residential,nan,nan,nan,nan,primary
Butte County,nan,nan,nan,nan,primary
Bytemark Inc.,nan,nan,nan,nan,primary
Calaveras Council of Governments,nan,nan,nan,nan,primary
California Department of Transportation,nan,nan,nan,nan,primary
California Integrated Travel Project,nan,nan,nan,nan,primary
California State University San Bernardino,nan,nan,nan,nan,primary
California Vanpool Authority,nan,nan,nan,nan,primary
Castle Rock Associates ,nan,nan,nan,nan,primary
Central Coast Cab Inc.,nan,nan,nan,nan,primary
Centum Adetel,nan,nan,nan,nan,primary
Ceres Area Transit,nan,nan,nan,nan,primary
Chase Inc.,nan,nan,nan,nan,primary
Checker Cab,nan,nan,nan,nan,primary
Chemehuevi Indian Tribe,nan,nan,nan,nan,primary
CHK America,nan,nan,nan,nan,primary
Cittati,nan,nan,nan,nan,primary
City and County Association of Governments of San Mateo County,nan,nan,nan,nan,primary
City Cab Inc.,nan,nan,nan,nan,primary
City of Amador City,nan,nan,nan,nan,primary
City of Angels,nan,nan,nan,nan,primary
City of Arroyo Grande,nan,nan,nan,nan,primary
City of Atherton,nan,nan,nan,nan,primary
City of Bakersfield,nan,nan,nan,nan,primary
City of Biggs,nan,nan,nan,nan,primary
City of Bishop,nan,nan,nan,nan,primary
City of Brisbane,nan,nan,nan,nan,primary
City of Buellton,nan,nan,nan,nan,primary
City of Burlingame,nan,nan,nan,nan,primary
City of Capitola,nan,nan,nan,nan,primary
City of Carlsbad,nan,nan,nan,nan,primary
City of Carmel by the Sea,nan,nan,nan,nan,primary
City of Carpinteria,nan,nan,nan,nan,primary
City of Ceres,nan,nan,nan,nan,primary
City of Chico,nan,nan,nan,nan,primary
City of Chula Vista,nan,nan,nan,nan,primary
City of Claremont,nan,nan,nan,nan,primary
City of Coalinga,nan,nan,nan,nan,primary
City of Colma,nan,nan,nan,nan,primary
City of Coronado,nan,nan,nan,nan,primary
City of Daly City,nan,nan,nan,nan,primary
City of Del Mar,nan,nan,nan,nan,primary
City of Del Rey Oaks,nan,nan,nan,nan,primary
City of Dinuba,nan,nan,nan,nan,primary
City of El Cajon,nan,nan,nan,nan,primary
City of Elk Grove,nan,nan,nan,nan,primary
City of Encinitas,nan,nan,nan,nan,primary
City of Escalon,nan,nan,nan,nan,primary
City of Escondido,nan,nan,nan,nan,primary
City of Exeter,nan,nan,nan,nan,primary
City of Farmersville,nan,nan,nan,nan,primary
City of Fillmore,nan,nan,nan,nan,primary
City of Firebaugh,nan,nan,nan,nan,primary
City of Folsom,nan,nan,nan,nan,primary
City of Foster City,nan,nan,nan,nan,primary
City of Fowler,nan,nan,nan,nan,primary
City of Goleta,nan,nan,nan,nan,primary
City of Gonzalez,nan,nan,nan,nan,primary
City of Greenfield,nan,nan,nan,nan,primary
City of Grover Beach,nan,nan,nan,nan,primary
City of Half Moon Bay,nan,nan,nan,nan,primary
City of Hillsborough,nan,nan,nan,nan,primary
City of Hollister,nan,nan,nan,nan,primary
City of Hughson,nan,nan,nan,nan,primary
City of Imperial Beach,nan,nan,nan,nan,primary
City of Ione,nan,nan,nan,nan,primary
City of Jackson,nan,nan,nan,nan,primary
City of Kerman,nan,nan,nan,nan,primary
City of King City,nan,nan,nan,nan,primary
City of Kingsburg,nan,nan,nan,nan,primary
City of La Mesa,nan,nan,nan,nan,primary
City of Lathrop,nan,nan,nan,nan,primary
City of Lemon Grove,nan,nan,nan,nan,primary
City of Lincoln,nan,nan,nan,nan,primary
City of Lindsay,nan,nan,nan,nan,primary
City of Maricopa,nan,nan,nan,nan,primary
City of Marina,nan,nan,nan,nan,primary
City of Mendota,nan,nan,nan,nan,primary
City of Millbrae,nan,nan,nan,nan,primary
City of Modesto,nan,nan,nan,nan,primary
City of Monterey,nan,nan,nan,nan,primary
City of Mountain View,nan,nan,nan,nan,primary
City of National City,nan,nan,nan,nan,primary
City of Newman,nan,nan,nan,nan,primary
City of Oakdale,nan,nan,nan,nan,primary
City of Oceanside,nan,nan,nan,nan,primary
City of Orange Cove,nan,nan,nan,nan,primary
City of Oroville,nan,nan,nan,nan,primary
City of Oxnard,nan,nan,nan,nan,primary
City of Pacific Grove,nan,nan,nan,nan,primary
City of Pacifica,nan,nan,nan,nan,primary
City of Paso Robles,nan,nan,nan,nan,primary
City of Patterson,nan,nan,nan,nan,primary
City of Pismo Beach,nan,nan,nan,nan,primary
City of Plymouth,nan,nan,nan,nan,primary
City of Portola Valley,nan,nan,nan,nan,primary
City of Poway,nan,nan,nan,nan,primary
City of Reedley,nan,nan,nan,nan,primary
City of Riverbank,nan,nan,nan,nan,primary
City of Salinas,nan,nan,nan,nan,primary
City of San Carlos,nan,nan,nan,nan,primary
City of San Diego,nan,nan,nan,nan,primary
City of San Joaquin,nan,nan,nan,nan,primary
City of San Juan Bautista,nan,nan,nan,nan,primary
City of Sand City,nan,nan,nan,nan,primary
City of Sanger,nan,nan,nan,nan,primary
City of Santa Barbara,nan,nan,nan,nan,primary
City of Santa Cruz,nan,nan,nan,nan,primary
City of Santa Paula,nan,nan,nan,nan,primary
City of Santee,nan,nan,nan,nan,primary
City of Scotts Valley,nan,nan,nan,nan,primary
City of Seaside,nan,nan,nan,nan,primary
City of Selma,nan,nan,nan,nan,primary
City of Solana Beach,nan,nan,nan,nan,primary
City of Soledad,nan,nan,nan,nan,primary
City of Stockton,nan,nan,nan,nan,primary
City of Sutter Creek,nan,nan,nan,nan,primary
City of Tehachapi,nan,nan,nan,nan,primary
City of Tulare,nan,nan,nan,nan,primary
City of Vista,nan,nan,nan,nan,primary
City of Waterford,nan,nan,nan,nan,primary
City of Watsonville,nan,nan,nan,nan,primary
City of Woodlake,nan,nan,nan,nan,primary
City of Woodside,nan,nan,nan,nan,primary
City or Parlier,nan,nan,nan,nan,primary
Clever Devices Ltd.,nan,nan,nan,nan,primary
Cloverdale Transit,nan,nan,nan,nan,primary
Coach USA Inc.,nan,nan,nan,nan,primary
Colusa County Transportation Commission,nan,nan,nan,nan,primary
Conduent Inc,nan,nan,nan,nan,primary
Connectpoint,nan,nan,nan,nan,primary
Connexionz Inc.,nan,nan,nan,nan,primary
Consolidated Tribal Health Project Inc.,nan,nan,nan,nan,primary
Constellation Software Inc,nan,nan,nan,nan,primary
Corinthian Inc.,nan,nan,nan,nan,primary
Council of San Benito County Governments,nan,nan,nan,nan,primary
Covina Transit,nan,nan,nan,nan,primary
Cubic,nan,nan,nan,nan,primary
DASH,nan,nan,nan,nan,primary
DataGraffikk A.G. ,nan,nan,nan,nan,primary
Deaf Plus Adult Community,nan,nan,nan,nan,primary
Del Norte Local Transportation Commission,nan,nan,nan,nan,primary
"Delano Association for the Developmentally Disabled, Inc.",nan,nan,nan,nan,primary
"Desert Access and Mobility, Inc",nan,nan,nan,nan,primary
Dilax Inc.,nan,nan,nan,nan,primary
DoubleMap Inc.,nan,nan,nan,nan,primary
Drivers for Survivors,nan,nan,nan,nan,primary
Dumbarton Bridge Regional Operations Consortium,nan,nan,nan,nan,primary
Easy Does It Emergency Services,nan,nan,nan,nan,primary
Ecolane,nan,nan,nan,nan,primary
El Dorado County Transportation Commission,nan,nan,nan,nan,primary
El Paseo Limo,nan,nan,nan,nan,primary
Elavon,nan,nan,nan,nan,primary
Empire Transportation,nan,nan,nan,nan,primary
Empressa,nan,nan,nan,nan,primary
ETA Transit Inc.,nan,nan,nan,nan,primary
Everbridge,nan,nan,nan,nan,primary
"Express
  Transportation Services, LLC",nan,nan,nan,nan,primary
Federal Transit Administration,nan,nan,nan,nan,primary
Fidelity National Information Services,nan,nan,nan,nan,primary
Fiesta Taxi,nan,nan,nan,nan,primary
FIS,nan,nan,nan,nan,primary
Fiserv,nan,nan,nan,nan,primary
Ford,nan,nan,nan,nan,primary
Fresno Council of Governments,nan,nan,nan,nan,primary
Fresno County,nan,nan,nan,nan,primary
Friends Outside,nan,nan,nan,nan,primary
Genfare,nan,nan,nan,nan,primary
GeoSpatial Technologies,nan,nan,nan,nan,primary
Giro Inc.,nan,nan,nan,nan,primary
Glenn County Transportation Commission,nan,nan,nan,nan,primary
Global Paratransit Inc.,nan,nan,nan,nan,primary
GMV S.A.,nan,nan,nan,nan,primary
GMV Syncromatics Inc,nan,nan,nan,nan,primary
Granicus,nan,nan,nan,nan,primary
HaCon AG,nan,nan,nan,nan,primary
Hanover Displays Ltd,nan,nan,nan,nan,primary
Hella Aglaia Mobile Vision GMBH,nan,nan,nan,nan,primary
Hobnob,nan,nan,nan,nan,primary
Hopthru,nan,nan,nan,nan,primary
Humboldt County Association of Governments,nan,nan,nan,nan,primary
IBI,nan,nan,nan,nan,primary
Icomera AG,nan,nan,nan,nan,primary
Imperial County,nan,nan,nan,nan,primary
Independent Cab Co Inc,nan,nan,nan,nan,primary
Independent Living Partnership,nan,nan,nan,nan,primary
Independent Taxi,nan,nan,nan,nan,primary
INIT SE,nan,nan,nan,nan,primary
Inland Regional Center,nan,nan,nan,nan,primary
Intelliride,nan,nan,nan,nan,primary
Interline,nan,nan,nan,nan,primary
Intersection,nan,nan,nan,nan,primary
Inyo County,nan,nan,nan,nan,primary
Inyo County Local Transportation Commission,nan,nan,nan,nan,primary
IPS Systems,nan,nan,nan,nan,primary
Iris Inc.,nan,nan,nan,nan,primary
ISC Applied Systems,nan,nan,nan,nan,primary
Jewish Family Service of San Diego,nan,nan,nan,nan,primary
John Wayne Airport,nan,nan,nan,nan,primary
Karuk Tribe,nan,nan,nan,nan,primary
Kern Council of Governments,nan,nan,nan,nan,primary
Kings County Association of Governments,nan,nan,nan,nan,primary
Lake County/City Area Planning Council,nan,nan,nan,nan,primary
Lassen County Transportation Commission,nan,nan,nan,nan,primary
Lodi Memorial Hospital Association,nan,nan,nan,nan,primary
LOSSAN Rail Corridor Agency ,nan,nan,nan,nan,primary
Luminator Technology Group,nan,nan,nan,nan,primary
Lutheran Social Services,nan,nan,nan,nan,primary
Lyft Inc.,nan,nan,nan,nan,primary
Mackenzie Laboratories,nan,nan,nan,nan,primary
Madera County Transportation Commission,nan,nan,nan,nan,primary
Malmator,nan,nan,nan,nan,primary
Marina Taxi Co Inc.,nan,nan,nan,nan,primary
Mariposa County Local Transportation Commission,nan,nan,nan,nan,primary
Masabi,nan,nan,nan,nan,primary
Mecatran,nan,nan,nan,nan,primary
mecatran.com,nan,nan,nan,nan,primary
Medical Transportation Management,nan,nan,nan,nan,primary
Mendocino Council of Governments,nan,nan,nan,nan,primary
Merced County Association of Governments,nan,nan,nan,nan,primary
Metro Transit Services Inc.,nan,nan,nan,nan,primary
Metropolitan Transportation Commission,nan,nan,nan,nan,primary
Michigan Technological University Center for Technology and Training,nan,nan,nan,nan,primary
Microsoft,nan,nan,nan,nan,primary
"MIG, Inc.",nan,nan,nan,nan,primary
Mobility Management Partners,nan,nan,nan,nan,primary
MobilityData,nan,nan,nan,nan,primary
Modaxo Inc,nan,nan,nan,nan,primary
Modoc County Local Transportation Commission,nan,nan,nan,nan,primary
Mono County Local Transportation Commission,nan,nan,nan,nan,primary
Monterey County,nan,nan,nan,nan,primary
Monterey Peninsula College,nan,nan,nan,nan,primary
Moovel,nan,nan,nan,nan,primary
MV Paratransit,nan,nan,nan,nan,primary
MV Transportation,nan,nan,nan,nan,primary
My Ride To Work,nan,nan,nan,nan,primary
National Express Transit Corporation (NEXT),nan,nan,nan,nan,primary
Network Paratransit System,nan,nan,nan,nan,primary
Nevada County Transportation Commission,nan,nan,nan,nan,primary
Newport Beach Friends of Oasis Senior Center,nan,nan,nan,nan,primary
Nixle,nan,nan,nan,nan,primary
Norman Y. Mineta San Jose International Airport,nan,nan,nan,nan,primary
North and South of Market Adult Day Health,nan,nan,nan,nan,primary
North Bay Taxi Inc.,nan,nan,nan,nan,primary
North Valley Services,nan,nan,nan,nan,primary
Oakland International Airport,nan,nan,nan,nan,primary
Ontario International Airport,nan,nan,nan,nan,primary
Open Transit Software Foundation,nan,nan,nan,nan,primary
Optibus,nan,nan,nan,nan,primary
Orange Belt Stages,nan,nan,nan,nan,primary
Orange Cab Inc.,nan,nan,nan,nan,primary
Orange County,nan,nan,nan,nan,primary
Padam Mobility,nan,nan,nan,nan,primary
Paramount Transportation,nan,nan,nan,nan,primary
Paratransit Inc. ,nan,nan,nan,nan,primary
Paratransit Services Inc.,nan,nan,nan,nan,primary
Parking Company of America,nan,nan,nan,nan,primary
Partners in Caring,nan,nan,nan,nan,primary
Passio Technologies,nan,nan,nan,nan,primary
People Services,nan,nan,nan,nan,primary
Placer County Transportation Planning Agency,nan,nan,nan,nan,primary
Placer TART Paratransit,nan,nan,nan,nan,primary
PlanIt,nan,nan,nan,nan,primary
Plumas County Transportation Commission,nan,nan,nan,nan,primary
Port Hueneme,nan,nan,nan,nan,primary
Rapid Connection LLC,nan,nan,nan,nan,primary
"Ride-Right, LLC",nan,nan,nan,nan,primary
RideFact Brokerage,nan,nan,nan,nan,primary
Riverside County,nan,nan,nan,nan,primary
Riverside County Transportation Commission,nan,nan,nan,nan,primary
RouteMatch,nan,nan,nan,nan,primary
RydeTrans,nan,nan,nan,nan,primary
S&A Systems Inc.,nan,nan,nan,nan,primary
Sacramento Area Council of Governments,nan,nan,nan,nan,primary
Sacramento International Airport,nan,nan,nan,nan,primary
Sal's Taxi Inc.,nan,nan,nan,nan,primary
Salinas Yellow Cab Inc.,nan,nan,nan,nan,primary
San Benito County,nan,nan,nan,nan,primary
San Bernardino County,nan,nan,nan,nan,primary
San Bernardino County Transportation Authority,nan,nan,nan,nan,primary
San Diego Association of Governments,nan,nan,nan,nan,primary
San Diego County,nan,nan,nan,nan,primary
San Diego State University,nan,nan,nan,nan,primary
"San Diego Trolley, Inc.",nan,nan,nan,nan,primary
San Gabriel Transit Inc.,nan,nan,nan,nan,primary
San Joaquin Council of Governments,nan,nan,nan,nan,primary
San Joaquin County,nan,nan,nan,nan,primary
San Luis Obispo Council of Governments,nan,nan,nan,nan,primary
San Luis Obispo County,nan,nan,nan,nan,primary
San Mateo County,nan,nan,nan,nan,primary
Santa Barbara City College,nan,nan,nan,nan,primary
Santa Barbara County,nan,nan,nan,nan,primary
Santa Cruz County,nan,nan,nan,nan,primary
Santa Cruz County Regional Transportation Commission,nan,nan,nan,nan,primary
Santa Maria Organization of Transportation Helpers (SMOOTH) ,nan,nan,nan,nan,primary
SAP,nan,nan,nan,nan,primary
Seniors First,nan,nan,nan,nan,primary
Services for Seniors,nan,nan,nan,nan,primary
Shasta County Regional Transportation Planning Agency,nan,nan,nan,nan,primary
Shopify Inc.,nan,nan,nan,nan,primary
Siemens AG,nan,nan,nan,nan,primary
Sierra County Transportation Commission,nan,nan,nan,nan,primary
Sierra Management,nan,nan,nan,nan,primary
Signature Rail,nan,nan,nan,nan,primary
Silver Ride LLC,nan,nan,nan,nan,primary
Siskiyou County Local Transportation Commission,nan,nan,nan,nan,primary
SMA and Partners Ltd.,nan,nan,nan,nan,primary
Solutions for Transit,nan,nan,nan,nan,primary
South Bay Yellow/United Checker Cab Co-op,nan,nan,nan,nan,primary
Southern California Association of Governments,nan,nan,nan,nan,primary
"Southland Transit, Inc.",nan,nan,nan,nan,primary
Spirit Bus,nan,nan,nan,nan,primary
Sprint,nan,nan,nan,nan,primary
Square Inc.,nan,nan,nan,nan,primary
Stanislaus Council of Governments,nan,nan,nan,nan,primary
Stanislaus County,nan,nan,nan,nan,primary
Stanislaus Regional Transit,nan,nan,nan,nan,primary
Storer Transit Systems Inc.,nan,nan,nan,nan,primary
SunriseSESA,nan,nan,nan,nan,primary
Sutter Health,nan,nan,nan,nan,primary
Swiftly Inc.,nan,nan,nan,nan,primary
SYSTEMTECHNIK,nan,nan,nan,nan,primary
Tahoe Regional Planning Agency,nan,nan,nan,nan,primary
Tehama County Transportation Commission,nan,nan,nan,nan,primary
The Master Scheduler,nan,nan,nan,nan,primary
There or not. ,nan,nan,nan,nan,primary
Token Transit,nan,nan,nan,nan,primary
TouchNet,nan,nan,nan,nan,primary
Town of Mammoth Lakes,nan,nan,nan,nan,primary
Town of Paradise,nan,nan,nan,nan,primary
TransDev,nan,nan,nan,nan,primary
Transit App Inc.,nan,nan,nan,nan,primary
TransLoc,nan,nan,nan,nan,primary
Transnnovation Inc,nan,nan,nan,nan,primary
Transportation Agency for Monterey County,nan,nan,nan,nan,primary
Transportation Concepts Inc.,nan,nan,nan,nan,primary
TransTrack Solutions Group,nan,nan,nan,nan,primary
Trapeze Group,nan,nan,nan,nan,primary
Trillium Inc.,nan,nan,nan,nan,primary
Trinity County Transportation Commission,nan,nan,nan,nan,primary
TripShot Inc.,nan,nan,nan,nan,primary
Tulare County,nan,nan,nan,nan,primary
Tulare County Area Transit,nan,nan,nan,nan,primary
Tulare County Association of Governments,nan,nan,nan,nan,primary
Tuolumne County Transportation Council,nan,nan,nan,nan,primary
Uber Inc.,nan,nan,nan,nan,primary
United Checker Cab,nan,nan,nan,nan,primary
United Independent Taxi,nan,nan,nan,nan,primary
United Taxi of San Fernando Valley Inc.,nan,nan,nan,nan,primary
USDA Forest Service Southwest Region,nan,nan,nan,nan,primary
UTA,nan,nan,nan,nan,primary
VenTek,nan,nan,nan,nan,primary
Ventura County,nan,nan,nan,nan,primary
"Veolia Transit Services, Inc",nan,nan,nan,nan,primary
Via Inc.,nan,nan,nan,nan,primary
Vivalon Inc.,nan,nan,nan,nan,primary
Volaris Group,nan,nan,nan,nan,primary
Volunteer Center of Sonoma County,nan,nan,nan,nan,primary
"Volunteer Transportation Center, Inc.",nan,nan,nan,nan,primary
Wabtec,nan,nan,nan,nan,primary
WaySine LLC,nan,nan,nan,nan,primary
Wells Fargo,nan,nan,nan,nan,primary
Westminster on Wheels Senior Transportation Program,nan,nan,nan,nan,primary
Work Training Center,nan,nan,nan,nan,primary
Worldpay,nan,nan,nan,nan,primary
Yellow Cab CA,nan,nan,nan,nan,primary
Zonar Inc.,nan,nan,nan,nan,primary
ABC Shuttle,ABC Airport Shuttle,,,,
Able Inc.,Able Inc.,,,,
Abrazar Inc.,Abrazar,,,,
Access Services,LA Access Services,,,,
Age Well Senior Services,Age Well Senior Services,,,,
Alameda-Contra Costa Transit District,AC Transit,AC,nan,*,primary
Alameda-Contra Costa Transit District,AC Transit,AC,nan,*,primary
Alameda-Contra Costa Transit District,AC Transit,AC,nan,*,primary
Alameda-Contra Costa Transit District,AC Transit,AC,nan,*,primary
Alameda-Contra Costa Transit District,Dumbarton Express,DE,nan,nan,primary
Alameda-Contra Costa Transit District,Dumbarton Express,DE,nan,nan,primary
Alameda-Contra Costa Transit District,Dumbarton Express,DE,nan,nan,primary
Alameda-Contra Costa Transit District,Dumbarton Express,DE,nan,nan,primary
Alameda-Contra Costa Transit District,East Bay Paratransit,,,,
San Francisco Bay Area Rapid Transit District,East Bay Paratransit,,,,
Alameda-Contra Costa Transit District,AC Transit Transbay,AC,nan,"AC:L,AC:J,AC:F,AC:G,AC:LA,AC:NL,AC:,AC:NX,AC:O,AC:P,AC:W,AC:V,AC:E,AC:NX3,AC:OX",primary
Alameda-Contra Costa Transit District,AC Transit Transbay,AC,nan,"AC:L,AC:J,AC:F,AC:G,AC:LA,AC:NL,AC:,AC:NX,AC:O,AC:P,AC:W,AC:V,AC:E,AC:NX3,AC:OX",primary
Alameda-Contra Costa Transit District,AC Transit Transbay,AC,nan,"AC:L,AC:J,AC:F,AC:G,AC:LA,AC:NL,AC:,AC:NX,AC:O,AC:P,AC:W,AC:V,AC:E,AC:NX3,AC:OX",primary
Alameda-Contra Costa Transit District,AC Transit Transbay,AC,nan,"AC:L,AC:J,AC:F,AC:G,AC:LA,AC:NL,AC:,AC:NX,AC:O,AC:P,AC:W,AC:V,AC:E,AC:NX3,AC:OX",primary
Alameda-Contra Costa Transit District,AC Transit Tempo,AC,nan,AC:1T,primary
Alameda-Contra Costa Transit District,AC Transit Tempo,AC,nan,AC:1T,primary
Alameda-Contra Costa Transit District,AC Transit Tempo,AC,nan,AC:1T,primary
Alameda-Contra Costa Transit District,AC Transit Tempo,AC,nan,AC:1T,primary
Alcatraz Cruises Inc.,Alcatraz Ferry,899,nan,nan,primary
Alpine County,Alpine County Transit,,,,
Amador Regional Transit System,Amador Transit,nan,nan,nan,primary
Amador Regional Transit System,Amador Transit Dial-A-Ride,,,,
American Cancer Society,American Cancer Society,,,,
Amtrak,Coast Starlight,nan,nan,36924,primary
Amtrak,California Zephyr,nan,nan,"96,93",primary
Amtrak,Thruway,174,nan,26025,primary
Amtrak,Southwest Chief,nan,nan,nan,primary
Amtrak,Sunset Limited,nan,nan,nan,primary
Amtrak,Surfliner,nan,nan,nan,primary
Anaheim Transportation Network,Anaheim Resort Transportation,nan,nan,nan,primary
Anaheim Transportation Network,FRAN,,,,
Anaheim Transportation Network,Anaheim Transportation Network Paratransit,,,,
Anderson Valley Senior Center,Anderson Valley Senior Center Bus,,,,
Angel Island-Tiburon Ferry Company,Angel Island-Tiburon Ferry,897,nan,nan,primary
Angel View Inc.,Angel View,,,,
Antelope Valley Transit Authority,Antelope Valley Dial-A-Ride,,,,
Antelope Valley Transit Authority,Antelope Valley Transportation Authority,nan,nan,nan,primary
ARC Imperial Valley,Arc Imperial Valley Transportation,,,,
Asian Community Center of Sacramento Valley,ACC Rides Transportation Services,,,,
Avenidas,Avenidas Door-to-Door,,,,
Bakersfield ARC,Bakersfield ARC,,,,
Balboa Island Ferry,Balboa Island Ferry,,,,
Banning Pass Transit,Banning Pass Transit,nan,nan,nan,primary
Banning Pass Transit,Banning Pass Transit,nan,nan,nan,primary
Banning Pass Transit,Banning Pass Transit,nan,nan,nan,primary
Banning Pass Transit,Banning Pass Transit,nan,nan,nan,primary
Banning Pass Transit,Banning Connect Dial-A-Ride,,,,
Bay Area Outreach & Recreation Program,Bay Area Outreach & Recreation Program,,,,
Becoming Independent,Becoming Independent,,,,
Big Valley 50 Plus,Big Valley 50 Plus,,,,
Blue and Gold Fleet,Blue and Gold Fleet,901,nan,nan,primary
Blue Lake Rancheria,Blue Lake Rancheria,972,nan,nan,primary
Blue Lake Rancheria,Blue Lake Rancheria,972,nan,nan,primary
Blue Lake Rancheria,Blue Lake Rancheria,972,nan,nan,primary
Blue Lake Rancheria,Blue Lake Rancheria,972,nan,nan,primary
Brisbane Village Helping Hands Inc.,Brisbane Village Helping Hands Rides,,,,
Bureau of Land Management,Bizz Johnson Trail Shuttle,,,,
Butte County Association of Governments,B-Line,nan,nan,nan,primary
Butte County Association of Governments,B-Line Paratransit,,,,
Butte-Glenn Community College District,Butte College Bus,,,,
Calaveras County,Calaveras Connect,nan,nan,nan,primary
Calaveras County,Calaveras Direct Connect,,,,
California College of the Arts,CCA Intercampus Shuttle,,,,
California Pacific Medical Center,CPMC Shuttle,,,,
California State University East Bay,CSUEB Hill Hopper Shuttle,,,,
California State University Long Beach,CSULB Shuttles,,,,
California State University Northridge,CSUN Campus Shuttles,,,,
Camarillo Health Care District,Care-A-Van,,,,
Cambria Community Council,Cambria Community Bus,,,,
Camping Unlimited for Developmentally Disabled,Camping Unlimited for Developmentally Disabled,,,,
Capitol Corridor Joint Powers Authority,Capitol Corridor,AM,nan,nan,primary
Care-A-Van Transit Systems Inc.,Care-A-Van Transit,,,,
Casa Allegra Community Services,Casa Allegra,,,,
Catalina Express,Catalina Express,,,,
Catalina Flyer,Catalina Flyer,,,,
Catalina Island Conservancy,Wildlands Express,,,,
Catholic Charities of the Diocese of Stockton,Catholic Charities Stockton Senior Transportation,,,,
Center for Elders' Independence,Center for Elders' Independence,,,,
Central California Nikkei Foundation,Central California Nikkei Center,,,,
Central Coast Shuttle Services Inc.,Central Coast LAX Shuttle,,,,
Charitable Adult Rides & Services,On-the-go Transportation,,,,
Chumash Casino Resort,Chumash Casino Shuttle,,,,
