TIRCP_Award_Amount,Allocation_Amount,GGRF_Funding,Expended_Amount,PTA-SB1 Allocation Amount
24403000.0,24403000.0,24403000.0,21714177.53,0.0
4620000.0,4620000.0,4620000.0,4619999.9,0.0
38494000.0,38494000.0,38494000.0,38494000.0,0.0
1675000.0,1675000.0,1675000.0,277840.47000000003,0.0
10000000.0,10000000.0,10000000.0,0.0,0.0
2320000.0,2320000.0,2320000.0,0.0,0.0
6427000.0,6427000.0,6427000.0,0.0,0.0
4000000.0,4000000.0,4000000.0,4000000.0,0.0
31986000.0,3760000.0,3760000.0,28176000.0,0.0
31986000.0,27463000.0,27463000.0,28176000.0,0.0
31986000.0,713000.0,713000.0,28176000.0,0.0
41181000.0,41181000.0,41181000.0,0.0,0.0
200000.0,185000.0,185000.0,200000.0,0.0
200000.0,15000.0,15000.0,200000.0,0.0
6841000.0,6841000.0,6841000.0,6841000.0,0.0
11000000.0,11000000.0,11000000.0,1650000.0,0.0
41181000.0,41181000.0,41181000.0,37583067.0,0.0
6481000.0,2449000.0,2449000.0,7874722.49,0.0
8999000.0,200000.0,200000.0,532908.06,0.0
17998000.0,320000.0,320000.0,1065816.12,0.0
8999000.0,0.0,0.0,532908.06,0.0
44995000.0,2886000.0,2886000.0,2664540.3000000003,0.0
26997000.0,40000.0,40000.0,1598724.1800000002,0.0
8000000.0,3917000.0,3917000.0,0.0,0.0
8000000.0,4083000.0,4083000.0,0.0,0.0
5000000.0,5000000.0,5000000.0,0.0,0.0
40000000.0,40000000.0,40000000.0,0.0,0.0
69209000.0,64437000.0,64437000.0,4220881.34,0.0
69209000.0,1908000.0,1908000.0,4220881.34,0.0
69209000.0,3101000.0,3101000.0,4220881.34,0.0
164000000.0,61983000.0,61983000.0,133663877.6,0.0
28000000.0,2482000.0,2482000.0,0.0,0.0
28000000.0,25518000.0,25518000.0,0.0,0.0
20000000.0,20000000.0,20000000.0,14102518.859999998,0.0
30000000.0,0.0,0.0,0.0,0.0
9204000.0,9204000.0,9204000.0,9204000.0,0.0
45092000.0,45092000.0,45092000.0,0.0,0.0
16459000.0,0.0,0.0,0.0,0.0
16459000.0,7500000.0,7500000.0,0.0,0.0
16459000.0,0.0,0.0,0.0,0.0
16459000.0,500000.0,500000.0,0.0,0.0
400000000.0,14698284.0,0.0,16750767.999999998,0.0
400000000.0,19000000.0,0.0,16750767.999999998,0.0
400000000.0,13290000.0,0.0,16750767.999999998,0.0
400000000.0,16752568.0,0.0,16750767.999999998,0.0
400000000.0,34006667.0,0.0,16750767.999999998,0.0
400000000.0,5152297.0,0.0,16750767.999999998,0.0
20000000.0,0.0,0.0,0.0,0.0
14000000.0,0.0,0.0,500000.0,0.0
14000000.0,500000.0,0.0,500000.0,500000.0
14000000.0,6500000.0,2988000.0,500000.0,3512000.0
14000000.0,1000000.0,459000.0,500000.0,541000.0
28617000.0,802000.0,355000.0,15829360.479999999,447000.0
28617000.0,22857000.0,10134000.0,15829360.479999999,12723000.0
28617000.0,4958000.0,2198000.0,15829360.479999999,2760000.0
9205000.0,7755000.0,3505000.0,2641815.2499999995,4250000.0
9205000.0,1200000.0,542000.0,2641815.2499999995,658000.0
9205000.0,250000.0,0.0,2641815.2499999995,250000.0
955800000.0,368600000.0,141267000.0,0.0,227333000.0
241020000.0,6000000.0,2728000.0,88759459.35,3272000.0
80340000.0,21340000.0,9702000.0,29586486.45,11638000.0
160680000.0,2000000.0,0.0,59172972.9,2000000.0
80340000.0,0.0,0.0,29586486.45,0.0
241020000.0,20700000.0,9411000.0,88759459.35,11289000.0
7798000.0,7555000.0,3349000.0,0.0,4206000.0
7798000.0,243000.0,107000.0,0.0,136000.0
36104000.0,250000.0,0.0,0.0,250000.0
36104000.0,35854000.0,16008000.0,0.0,19846000.0
3050000.0,3050000.0,1352000.0,0.0,1698000.0
20500000.0,20000000.0,9089000.0,157092.4,10911000.0
20500000.0,500000.0,0.0,157092.4,500000.0
1088499000.0,0.0,0.0,0.0,0.0
1088499000.0,249200000.0,111218000.0,0.0,137982000.0
1088499000.0,0.0,0.0,0.0,0.0
1088499000.0,0.0,0.0,0.0,0.0
1088499000.0,7000000.0,0.0,0.0,7000000.0
1088499000.0,0.0,0.0,0.0,0.0
1088499000.0,0.0,0.0,0.0,0.0
1088499000.0,5000000.0,2231000.0,0.0,2769000.0
22962000.0,0.0,0.0,6381680.52,0.0
68886000.0,22962000.0,10307000.0,19145041.56,12655000.0
91366000.0,0.0,0.0,0.0,0.0
274098000.0,22962000.0,10307000.0,0.0,12655000.0
22962000.0,1241000.0,554000.0,6381680.52,687000.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,1100000.0,487000.0,6381680.52,613000.0
22962000.0,0.0,0.0,6381680.52,0.0
22962000.0,259000.0,115000.0,6381680.52,144000.0
91366000.0,1241000.0,554000.0,0.0,687000.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,1100000.0,487000.0,0.0,613000.0
91366000.0,0.0,0.0,0.0,0.0
91366000.0,259000.0,115000.0,0.0,144000.0
407276000.0,2975000.0,1343000.0,118882320.15999998,1632000.0
610914000.0,0.0,0.0,178323480.23999998,0.0
203638000.0,3000000.0,0.0,59441160.07999999,3000000.0
814552000.0,117182000.0,52927000.0,237764640.31999996,64255000.0
203638000.0,525000.0,237000.0,59441160.07999999,288000.0
814552000.0,2000000.0,902000.0,237764640.31999996,1098000.0
64350000.0,250000.0,0.0,0.0,250000.0
128700000.0,52932000.0,25976000.0,0.0,26956000.0
30000000.0,0.0,0.0,20357085.980000004,0.0
60000000.0,23500000.0,10419000.0,40714171.96000001,13081000.0
30000000.0,500000.0,221000.0,20357085.980000004,279000.0
30000000.0,4500000.0,1995000.0,20357085.980000004,2505000.0
5763000.0,0.0,0.0,0.0,0.0
40098000.0,0.0,0.0,0.0,0.0
40098000.0,3691000.0,1646000.0,0.0,2045000.0
40098000.0,13316000.0,5941000.0,0.0,7375000.0
40098000.0,0.0,0.0,0.0,0.0
40098000.0,0.0,0.0,0.0,0.0
40098000.0,6354000.0,2835000.0,0.0,3519000.0
40098000.0,4977000.0,2220000.0,0.0,2757000.0
40098000.0,250000.0,0.0,0.0,250000.0
40098000.0,2367000.0,1056000.0,0.0,1311000.0
40098000.0,320000.0,142000.0,0.0,178000.0
40098000.0,360000.0,160000.0,0.0,200000.0
40098000.0,372000.0,165000.0,0.0,207000.0
40098000.0,240000.0,107000.0,0.0,133000.0
40098000.0,635000.0,283000.0,0.0,352000.0
26867000.0,26867000.0,11912000.0,0.0,14955000.0
500500000.0,15500000.0,6886000.0,36166350.46,8614000.0
500500000.0,18250000.0,8108000.0,36166350.46,10142000.0
500500000.0,1000000.0,0.0,36166350.46,1000000.0
500500000.0,0.0,0.0,36166350.46,0.0
500500000.0,1750000.0,777000.0,36166350.46,973000.0
1001000000.0,5000000.0,2306000.0,72332700.92,2694000.0
1001000000.0,0.0,0.0,72332700.92,0.0
1501500000.0,9865000.0,4382000.0,108499051.38,5483000.0
500500000.0,626000.0,278000.0,36166350.46,348000.0
1501500000.0,13829000.0,6143000.0,108499051.38,7686000.0
0.0,0.0,0.0,0.0,0.0
9600000.0,4300000.0,1906000.0,0.0,2394000.0
9600000.0,1200000.0,532000.0,0.0,668000.0
9600000.0,300000.0,133000.0,0.0,167000.0
9600000.0,3800000.0,1684000.0,0.0,2116000.0
13009000.0,400000.0,180000.0,638822.6299999999,220000.0
13009000.0,250000.0,0.0,638822.6299999999,250000.0
26018000.0,1550000.0,700000.0,1277645.2599999998,850000.0
1460000000.0,0.0,0.0,0.0,0.0
0.0,8641000.0,3831000.0,0.0,4810000.0
0.0,5875000.0,2666000.0,3090500.0,3209000.0
0.0,250000.0,0.0,3090500.0,250000.0
0.0,1100000.0,499000.0,3090500.0,601000.0
0.0,2000000.0,907000.0,3090500.0,1093000.0
21000000.0,1000000.0,0.0,11918142.74,1000000.0
21000000.0,20000000.0,9311000.0,11918142.74,10689000.0
875708000.0,0.0,0.0,23748152.73,0.0
875708000.0,23021000.0,10325000.0,23748152.73,12696000.0
875708000.0,67336000.0,29856000.0,23748152.73,37480000.0
1751416000.0,137063000.0,61124000.0,47496305.46,75939000.0
875708000.0,6330000.0,2839000.0,23748152.73,3491000.0
875708000.0,4829000.0,2165000.0,23748152.73,2664000.0
875708000.0,16480000.0,7307000.0,23748152.73,9173000.0
875708000.0,1500000.0,665000.0,23748152.73,835000.0
2627124000.0,829000.0,369000.0,71244458.19,460000.0
1751416000.0,23160000.0,10387000.0,47496305.46,12773000.0
875708000.0,0.0,0.0,23748152.73,0.0
1751416000.0,5200000.0,2332000.0,47496305.46,2868000.0
875708000.0,10000000.0,0.0,23748152.73,10000000.0
875708000.0,19766000.0,8865000.0,23748152.73,10901000.0
875708000.0,6557000.0,2907000.0,23748152.73,3650000.0
875708000.0,0.0,0.0,23748152.73,0.0
875708000.0,140000.0,62000.0,23748152.73,78000.0
875708000.0,6500000.0,2915000.0,23748152.73,3585000.0
875708000.0,118000.0,52000.0,23748152.73,66000.0
875708000.0,1092000.0,484000.0,23748152.73,608000.0
1751416000.0,29825000.0,13377000.0,47496305.46,16448000.0
875708000.0,522000.0,231000.0,23748152.73,291000.0
875708000.0,3585000.0,1589000.0,23748152.73,1996000.0
875708000.0,0.0,0.0,23748152.73,0.0
875708000.0,354000.0,156000.0,23748152.73,198000.0
10148000.0,500000.0,0.0,0.0,500000.0
10148000.0,0.0,0.0,0.0,0.0
10148000.0,0.0,0.0,0.0,0.0
6503000.0,250000.0,0.0,0.0,250000.0
6503000.0,6253000.0,3251000.0,0.0,3002000.0
107100000.0,0.0,0.0,0.0,0.0
3914000.0,720000.0,0.0,0.0,720000.0
3914000.0,0.0,0.0,0.0,0.0
95200000.0,0.0,0.0,1823462.51,0.0
95200000.0,20000000.0,10000000.0,1823462.51,10000000.0
1105000.0,0.0,0.0,0.0,0.0
12994000.0,250000.0,125000.0,0.0,125000.0
6451000.0,6451000.0,3225000.0,0.0,3226000.0
107050000.0,0.0,0.0,0.0,0.0
107050000.0,0.0,0.0,0.0,0.0
107050000.0,0.0,0.0,0.0,0.0
107050000.0,0.0,0.0,0.0,0.0
107050000.0,0.0,0.0,0.0,0.0
38743000.0,0.0,0.0,0.0,0.0
38743000.0,0.0,0.0,0.0,0.0
38743000.0,0.0,0.0,0.0,0.0
38743000.0,0.0,0.0,0.0,0.0
38743000.0,0.0,0.0,0.0,0.0
23600000.0,23600000.0,11800000.0,0.0,11800000.0
15000000.0,0.0,0.0,0.0,0.0
12100000.0,0.0,0.0,0.0,0.0
12100000.0,3774000.0,1887000.0,0.0,1887000.0
12100000.0,0.0,0.0,0.0,0.0
12100000.0,720000.0,360000.0,0.0,360000.0
9060000.0,0.0,0.0,0.0,0.0
41668000.0,0.0,0.0,0.0,0.0
41668000.0,0.0,0.0,0.0,0.0
10400000.0,0.0,0.0,0.0,0.0
10400000.0,400000.0,200000.0,0.0,200000.0
10400000.0,0.0,0.0,0.0,0.0
10400000.0,1100000.0,0.0,0.0,1100000.0
10400000.0,0.0,0.0,0.0,0.0
10400000.0,400000.0,200000.0,0.0,200000.0
10400000.0,1000000.0,500000.0,0.0,500000.0
6000000.0,6000000.0,3000000.0,0.0,3000000.0
3112000.0,3112000.0,1556000.0,0.0,1556000.0
