deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6497312,DC CID1A,3911,SOL3911,SOL,NSL-SOL-TDS-001,4/18/2014 18:27,10/8/2014 2:40,632420
6497323,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001,1/25/2019 8:00,9/1/2023 0:00,63242B    
6497491,DC CID1A,3905,SOL3905,SOL,NSL-SOL-TDS-001,4/18/2014 18:02,11/4/2014 4:56,6324D3    
6497496,DC CID1A,5113,SOL5113,SOL,NSL-SOL-TDS-001,1/28/2019 13:31,9/1/2023 0:00,6324D8    
6497499,DC CID1A  ,3904,SOL3904,SOL,NSL-SOL-TDS-001,2/26/2021 0:00,9/1/2023 0:00,6324DB    
6497551,DC CID1A,3913,SOL3913,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:00,9/1/2023 0:00,63250F    
6497556,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:29,8/28/2015 8:00,632514
6497567,DC CID1A,3907,SOL3907,SOL,NSL-SOL-TDS-001,4/25/2014 20:01,10/10/2014 7:20,63251F    
6497575,DC CID1A,5032,SOL5032,SOL,NSL-SOL-TDS-001,3/20/2016 0:00,2/14/2017 8:00,632527
6497575,DC CID1A,5105,SOL5105,SOL,NSL-SOL-TDS-001,2/14/2017 8:00,2/12/2020 0:00,632527
6497594,DC CID1A,5032,SOL5032,SOL,NSL-SOL-TDS-001,5/14/2014 18:34,10/22/2014 4:36,63253A    
6497596,DC CID1A,3914,SOL3914,SOL,NSL-SOL-TDS-001 ,9/18/2014 4:57,2/29/2016 8:00,63253C    
6497617,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,10/6/2016 0:00,10/15/2019 8:00,632551
6497617,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,10/15/2016 0:00,9/1/2023 0:00,632551
6497631,DC CID1A,5023,SOL5023,SOL,NSL-SOL-TDS-001 ,9/18/2014 1:57,7/28/2016 8:00,63255F    
6497631,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001,7/28/2016 0:00,1/25/2019 8:00,63255f    
6497654,DC CID1A,5020,SOL5020,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:09,1/17/2018 19:57,632576
6497654,DC CID1A,5110,SOL5110,SOL,NSL-SOL-TDS-001,1/17/2018 19:57,3/29/2021 0:00,632576
6497721,DC CID1A,5022,SOL5022,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:00,2/11/2017 20:00,6325B9    
6497721,DC CID1A,5103,SOL5103,SOL,NSL-SOL-TDS-001,2/11/2017 20:00,9/1/2023 0:00,6325B9    
6497803,DC CID1A,5051,SOL5051,SOL,NSL-SOL-TDS-001,3/23/2022 23:34,9/1/2023 0:00,63260B    
6497854,DC CID1A,5013,SOL5013,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:36,1/22/2019 13:12,63263E    
6497854,DC CID1A,5111,SOL5111,SOL,NSL-SOL-TDS-001,1/22/2019 13:13,9/1/2023 0:00,63263E    
6497942,DC CID1A  ,5105,SOL5105,SOL,NSL-SOL-TDS-001,2/12/2020 0:00,9/1/2023 0:00,632696
6497964,DC CID1A,3915,SOL3915,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:49,9/1/2023 0:00,6326AC    
6497990,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001,9/10/2015 0:00,4/8/2021 0:00,6326C6    
6497997,DC CID1A  ,3903,SOL3903,SOL,NSL-SOL-TDS-001,4/8/2021 0:00,9/1/2023 0:00,6326CD    
6498006,DC CID1A  ,3901,SOL3901,SOL,NSL-SOL-TDS-001,4/7/2020 0:00,9/1/2023 0:00,6326D6    
6498019,DC CID1A,1902,SOL1902,SOL,NSL-SOL-TDS-001,4/3/2019 19:16,8/30/2019 8:00,6.33E+06
6498094,DC CID1A,5021,SOL5021,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:06,1/16/2018 16:54,63272E    
6498094,DC CID1A,5109,SOL5109,SOL,NSL-SOL-TDS-001,1/16/2018 16:54,10/23/2020 0:00,63272E    
6498138,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001,4/25/2014 20:13,10/10/2014 6:51,63275A    
6498153,DC CID1A  ,4100,SOL4100,SOL,NSL-SOL-TDS-001,2/4/2021 0:00,9/1/2023 0:00,632769
6498189,DC CID1A,5059,SOL5059,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,63278D    
6498234,DC CID1A,4412,SOL4412,SOL,NSL-SOL-TDS-001,5/14/2014 17:59,10/23/2014 1:44,6327BA    
6498303,DC CID1A,3912,SOL3912,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:04,9/1/2023 0:00,6327FF    
6498358,DC CID1A,5102,SOL5102,SOL,NSL-SOL-TDS-001,2/10/2017 19:38,10/1/2018 8:00,632836
6498360,DC CID1A,5019,SOL5019,SOL,NSL-SOL-TDS-001,9/18/2014 2:13,1/16/2018 16:28,632838
6498360,DC CID1A,5108,SOL5108,SOL,NSL-SOL-TDS-001,1/16/2018 16:28,9/1/2023 0:00,632838
6498366,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:21,6/26/2015 8:00,63283E    
6498384,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,8/12/2015 0:00,10/7/2019 8:00,632850
6498394,DC CID1A,5018,SOL5018,SOL,NSL-SOL-TDS-001,5/14/2014 18:31,10/22/2014 5:13,63285A    
6498421,DC CID1A,5016,SOL5016,SOL,NSL-SOL-TDS-001,5/2/2014 21:33,10/5/2014 1:16,632875
6498457,DC CID1A,5025,SOL5025,SOL,NSL-SOL-TDS-001,4/10/2014 21:14,10/17/2014 7:36,632899
6498458,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:45,6/15/2015 8:00,63289A    
6498559,DC CID1A,5019,SOL5019,SOL,NSL-SOL-TDS-001,5/14/2014 18:10,10/8/2014 2:17,6328FF    
6498570,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:53,6/5/2015 8:00,63290A    
6498573,DC CID1A,4411,SOL4411,SOL,NSL-SOL-TDS-001,5/14/2014 17:56,10/8/2014 2:27,63290D    
6498575,DC CID1A,4412,SOL4412,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:57,3/14/2018 0:00,63290F    
6498579,DC CID1A  ,3920,SOL3920,SOL,NSL-SOL-TDS-001,6/24/2020 0:00,9/1/2023 0:00,632913
6498580,DC CID1A,3921,SOL3921,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:18,9/1/2023 0:00,632914
6498587,DC CID1A,5058,SOL5058,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,63291B    
6498591,DC CID1A,5013,SOL5013,SOL,NSL-SOL-TDS-001,5/2/2014 21:24,10/10/2014 7:03,63291F    
6498592,DC CID1A,5034,SOL5034,SOL,NSL-SOL-TDS-001,5/2/2014 21:58,12/22/2016 8:00,632920
6498593,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001,5/2/2014 21:21,10/3/2014 3:21,632921
6498594,DC CID1A,5012,SOL5012,SOL,NSL-SOL-TDS-001,8/28/2014 22:40,11/4/2014 4:44,632922
6498595,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,5/2/2014 21:29,10/21/2014 5:10,632923
6498596,DC CID1A,5011,SOL5011,SOL,NSL-SOL-TDS-001,5/14/2014 18:29,11/7/2014 21:26,632924
6498597,DC CID1A,5007,SOL5007,SOL,NSL-SOL-TDS-001,5/2/2014 21:56,11/26/2014 21:13,632925
6498612,DC CID1A,5035,SOL5035,SOL,NSL-SOL-TDS-001,5/14/2014 18:02,4/17/2015 8:00,6327BD    
6498612,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001 ,9/8/2015 22:15,2/25/2017 8:00,632934
6498612,DC CID1A,5116,SOL5116,SOL,NSL-SOL-TDS-001,1/29/2019 20:43,6/12/2019 8:00,632934
6498627,DC CID1A,4417,SOL4417,SOL,NSL-SOL-TDS-001 ,2/1/2016 4:50,6/7/2016 8:00,?632943   
6498627,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,2/10/2017 19:57,1/6/2018 8:00,632943
6498659,DC CID1A,5020,SOL5020,SOL,NSL-SOL-TDS-001,5/2/2014 22:04,11/25/2014 6:43,632963
6498680,DC CID1A,3904,SOL3904,SOL,NSL-SOL-TDS-001,4/3/2014 22:48,10/10/2014 6:52,632978
6498697,DC CID1A,5010,SOL5010,SOL,NSL-SOL-TDS-001 ,12/4/2014 15:34,7/1/2019 8:00,632989
6498701,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,6/15/2015 8:00,9/12/2015 8:00,63298D    
6498711,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001,5/5/2015 0:00,11/16/2016 8:00,632997
6498722,DC CID1A,3901,SOL3901,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:14,4/7/2020 0:00,6329A2    
6498732,DC CID1A,4411,SOL4411,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:01,1/4/2018 18:17,6329AC    
6498732,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,1/4/2018 18:17,10/15/2019 8:00,6329AC    
6498732,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,10/15/2019 0:00,11/1/2019 8:00,6329AC    
6498732,DC CID1A,3916,SOL3916,SOL,NSL-SOL-TDS-001,11/1/2019 8:00,9/1/2023 0:00,6329AC    
6498749,DC CID1A  ,3910,SOL3910,SOL,NSL-SOL-TDS-001,1/27/2021 0:00,9/1/2023 0:00,6329BD    
6498775,DC CID1A,3917,SOL3917,SOL,NSL-SOL-TDS-001,4/18/2014 18:35,10/21/2014 5:36,6329D7    
6498798,DC CID1A,3906,SOL3906,SOL,NSL-SOL-TDS-001,4/18/2014 18:37,10/17/2014 7:39,6329EE    
6498834,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:45,11/11/2016 8:00,632A12    
6498915,DC CID1A,1903,SOL1903,SOL,NSL-SOL-TDS-001,4/2/2019 8:00,9/1/2023 0:00,632A63    
6498921,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001,4/3/2014 22:46,10/28/2014 6:38,632A69    
6498933,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001,8/13/2015 0:00,9/10/2015 8:00,632A75    
6499011,DC CID1A,3914,SOL3914,SOL,NSL-SOL-TDS-001,3/20/2016 8:00,2/16/2021 0:00,632AC3    
6499030,DC CID1A,3920,SOL3920,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:21,9/1/2023 0:00,632AD6    
6499061,DC CID1A  ,5116,SOL5116,SOL,NSL-SOL-TDS-001,6/17/2021 0:00,9/1/2023 0:00,632AF5    
6499116,DC CID1A  ,3914,SOL3914,SOL,NSL-SOL-TDS-001,2/16/2021 0:00,9/1/2023 0:00,632B2C    
6499131,DC CID1A,3917,SOL3917,SOL,NSL-SOL-TDS-001,9/18/2014 3:33,12/11/2014 4:33,632B3B    
6499131,DC CID1A,4100,SOL4100,SOL,NSL-SOL-TDS-001,7/23/2019 0:32,2/4/2021 0:00,632B3B    
6499181,DC CID1A  ,4503,SOL4503,SOL,NSL-SOL-TDS-001,7/13/2021 0:00,9/1/2023 0:00,632B6D    
6499211,DC CID1A  ,5109,SOL5109,SOL,NSL-SOL-TDS-001,10/23/2020 0:00,9/1/2023 0:00,632B8B    
6499213,DC CID1A,5025,SOL5025,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:41,12/27/2018 13:13,632B8D    
6499213,DC CID1A,5112,SOL5112,SOL,NSL-SOL-TDS-001,1/23/2019 20:43,9/1/2023 0:00,632B8D    
6499279,DC CID1A,3902,SOL3902,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:54,9/1/2023 0:00,632BCF    
6499281,DC CID1A,5052,SOL5052,SOL,NSL-SOL-TDS-001,3/23/2022 23:37,9/1/2023 0:00,632BD1    
6499308,DC CID1A,3909,SOL3909,SOL,NSL-SOL-TDS-001,4/18/2014 17:56,10/2/2014 3:11,632BEC    
6499316,DC CID1A,5012,SOL5012,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:39,1/4/2018 18:17,632BF4    
6499316,DC CID1A,3906,SOL3906,SOL,NSL-SOL-TDS-001,1/4/2018 18:17,9/1/2023 0:00,632BF4    
6499341,DC CID1A,5057,SOL5057,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,632C0D    
6499354,DC CID1A,5059,SOL5059,SOL,NSL-SOL-TDS-001,8/11/2022 0:00,3/25/2023 8:00,632C1A    
6499361,DC CID1A,5054,SOL5054,SOL,NSL-SOL-TDS-001,3/23/2022 23:39,9/1/2023 0:00,632C21    
6499370,DC CID1A,5057,SOL5057,SOL,NSL-SOL-TDS-001,8/1/2022 0:00,3/25/2023 8:00,632C2A    
6499393,DC CID1A,5016,SOL5016,SOL,NSL-SOL-TDS-001 ,10/6/2014 2:26,7/30/2016 8:00,632C41    
6499434,DC CID1A,5055,SOL5055,SOL,NSL-SOL-TDS-001,3/23/2022 23:40,9/1/2023 0:00,632C6A    
6499442,DC CID1A,5056,SOL5056,SOL,NSL-SOL-TDS-001,9/1/2022 23:40,9/1/2023 0:00,632C72    
6499443,DC CID1A,3917,SOL3917,SOL,NSL-SOL-TDS-001,12/18/2015 0:00,9/1/2023 0:00,632c73    
6758516,TOT       ,TOT,SOL Ferry Building,SOL,NSL-SOL-TDS-001,10/20/2014 0:00,12/31/2999 8:00,672074
6758517,TOT       ,TOT,SOL VTC,SOL,NSL-SOL-TDS-001,10/20/2014 0:00,12/31/2999 8:00,672075
6758518,TOT,TOT,SOLBroadway,SOL,NSL-SOL-TDS-001,9/14/2015 0:00,12/31/2999 8:00,672076
6758522,TOT       ,TOT         ,Suisun Train,SOL,NSL-SOL-TDS-001,3/1/2023 0:00,12/31/2999 8:00,672072A   
6758557,TOT,TOT,SOL,SOL,NSL-SOL-TDS-001,3/1/2017 20:25,12/31/2999 8:00,67209D    
7536794,HCR4,HCR422,SOL,SOL,NSL-SOL-TDS-001,9/14/2014 7:33,12/31/2999 8:00,NULL
7536795,HCR4,HCR423,SOL,SOL,NSL-SOL-TDS-001,9/14/2014 7:33,12/31/2999 8:00,NULL
7536796,HCR4,HCR424,SOL,SOL,NSL-SOL-TDS-001,9/14/2014 7:33,12/31/2999 8:00,NULL
7536797,HCR4,HCR425,SOL,SOL,NSL-SOL-TDS-001,9/14/2014 7:33,12/31/2999 8:00,NULL
7805804,BMV,4501,SOL-4501.01,SOL,NSL-SOL-TDS-001,8/1/2023 0:00,12/31/2999 8:00,771B6C    
7805805,BMV,4100,SOL4100,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771B6D    
7805806,BMV,5055,SOL5055,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B6E    
7805807,BMV,3401,SOL3401,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771B6F    
7805808,BMV,5114,SOL5114,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B70    
7805809,BMV,3921,SOL3921,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B71    
7805810,BMV,4500,SOL-4500.01,SOL,NSL-SOL-TDS-001,8/1/2023 0:00,12/31/2999 8:00,771B72    
7805811,BMV,3902,SOL3902,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B73    
7805812,BMV,5051,SOL5051,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B74    
7805814,BMV,4503,SOL4503,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B76    
7805815,BMV,5107,SOL5107,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B77    
7805816,BMV,5059,SOL5059,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B78    
7805818,BMV,5105,SOL5105,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B7A    
7805819,BMV,5115,SOL5115,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B7B    
7805820,BMV,5110,SOL-5110.01,SOL,NSL-SOL-TDS-001,7/26/2023 0:00,12/31/2999 8:00,771B7C    
7805821,BMV,5057,SOL5057,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B7D    
7805822,BMV,3912,SOL3912,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B7E    
7805823,BMV,5116,SOL5116,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B7F    
7805824,BMV,5106,SOL5106,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B80    
7805825,BMV,3916,SOL3916,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B81    
7805826,BMV,3919,SOL3919,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B82    
7805829,BMV,3920,SOL3920,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B85    
7805831,BMV,5109,SOL5109,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B87    
7805832,BMV,5056,SOL5056,SOL,NSL-SOL-TDS-001,3/14/2023 0:00,12/31/2999 8:00,771B88    
7805833,BMV,5501,SOL-5501.01,SOL,NSL-SOL-TDS-001,9/1/2023 0:00,12/31/2999 8:00,771B89    
7805834,BMV,5101,SOL5101,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8A    
7805835,BMV,3917,SOL3917,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8B    
7805836,BMV,5112,SOL5112,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8C    
7805837,BMV,5103,SOL5103,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8D    
7805838,BMV,3906,SOL3906,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8E    
7805839,BMV,5102,SOL5102,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B8F    
7805840,BMV,3907,SOL3907,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B90    
7805842,BMV,3905,SOL3905,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B92    
7805844,BMV,3911,SOL3911,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B94    
7805845,BMV,3913,SOL3913,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B95    
7805846,BMV,5113,SOL5113,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B96    
7805847,BMV,5053,SOL5053,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B97    
7805848,BMV,4502,SOL4502,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771B98    
7805849,BMV,3918,SOL3918,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B99    
7805850,BMV,3910,SOL3910,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B9A    
7805851,BMV,5104,SOL5104,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B9B    
7805852,BMV,3915,SOL3915,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B9C    
7805853,BMV,5054,SOL5054,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B9D    
7805854,BMV,3914,SOL3914,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771B9E    
7805857,BMV,5052,SOL5052,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771BA1    
7805858,BMV,3901,SOL-3901.01,SOL,NSL-SOL-TDS-001,8/1/2023 0:00,12/31/2999 8:00,771BA2    
7805859,BMV,5111,SOL5111,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771BA3    
7805860,BMV,5058,SOL5058,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771BA4    
7805861,BMV,3909,SOL3909,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771BA5    
7805862,BMV,3908,SOL3908,SOL,NSL-SOL-TDS-001,5/1/2023 0:00,12/31/2999 8:00,771BA6    
7805869,BMV,5117,SOL-5117.01,SOL,NSL-SOL-TDS-001,4/4/2023 0:00,12/31/2999 8:00,771BAD    
7805870,BMV,5119,SOL5119,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771BAE    
7805871,BMV,5121,SOL5121,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771BAF    
7805872,BMV,5120,SOL5120,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771BB0    
7805873,BMV,5118,SOL5118,SOL,NSL-SOL-TDS-001,4/1/2023 0:00,12/31/2999 8:00,771BB1    
